games,whizzbang_deck_id,final_state,player_class,rank
147,1825,LOST,PALADIN,9
84,1825,LOST,PALADIN,24
106,1830,LOST,PRIEST,4
475,1831,WON,PRIEST,20
193,1830,WON,PRIEST,15
440,1821,LOST,ROGUE,18
51,1821,WON,ROGUE,12
59,1820,WON,ROGUE,8
83,1820,WON,ROGUE,23
53,1821,WON,ROGUE,4
107,1820,LOST,ROGUE,12
685,1827,LOST,SHAMAN,20
434,1826,WON,SHAMAN,20
213,1826,LOST,SHAMAN,13
456,1819,LOST,WARLOCK,5
89,1818,LOST,WARLOCK,-1
58,1607,LOST,HUNTER,7
22,1827,WON,SHAMAN,6
15,1760,WON,WARRIOR,0
22,1606,LOST,DRUID,6
5,1818,LOST,WARLOCK,2
1,1609,LOST,MAGE,1
141,1829,WON,DRUID,14
40,1606,LOST,DRUID,11
161,1606,LOST,DRUID,22
420,1828,LOST,HUNTER,15
101,1828,WON,HUNTER,23
67,1828,WON,HUNTER,8
71,1828,WON,HUNTER,16
2,1609,WON,MAGE,2
82,1832,LOST,MAGE,-1
405,1825,LOST,PALADIN,15
80,1754,LOST,PALADIN,4
81,1754,WON,PALADIN,12
463,1831,LOST,PRIEST,15
67,1830,LOST,PRIEST,7
89,1820,LOST,ROGUE,4
184,1820,LOST,ROGUE,13
112,1826,WON,SHAMAN,10
110,1827,LOST,SHAMAN,16
74,1827,WON,SHAMAN,25
87,1827,WON,SHAMAN,24
290,1826,WON,SHAMAN,19
257,1819,WON,WARLOCK,17
352,1819,WON,WARLOCK,18
292,1819,WON,WARLOCK,15
163,1818,LOST,WARLOCK,21
130,1817,LOST,WARRIOR,23
144,1817,LOST,WARRIOR,8
190,1760,LOST,WARRIOR,14
50,1760,WON,WARRIOR,-1
86,1606,LOST,DRUID,24
134,1826,WON,SHAMAN,17
73,1819,LOST,WARLOCK,7
18,1817,WON,WARRIOR,11
15,1607,WON,HUNTER,0
76,1830,WON,PRIEST,13
28,1760,LOST,WARRIOR,6
10,1609,WON,MAGE,0
4,1832,LOST,MAGE,2
1,1607,LOST,HUNTER,1
1,1760,WON,WARRIOR,1
436,1607,WON,HUNTER,18
631,1828,LOST,HUNTER,19
135,1828,WON,HUNTER,21
328,1607,LOST,HUNTER,5
242,1609,WON,MAGE,17
59,1609,LOST,MAGE,7
53,1832,WON,MAGE,12
640,1754,LOST,PALADIN,20
171,1754,WON,PALADIN,22
18,1754,WON,PALADIN,6
63,1825,WON,PALADIN,-1
768,1831,LOST,PRIEST,19
154,1831,LOST,PRIEST,16
334,1830,WON,PRIEST,19
159,1831,LOST,PRIEST,23
91,1830,WON,PRIEST,22
117,1831,WON,PRIEST,21
78,1821,WON,ROGUE,24
127,1820,LOST,ROGUE,24
210,1820,LOST,ROGUE,22
144,1821,WON,ROGUE,22
174,1826,LOST,SHAMAN,23
149,1819,LOST,WARLOCK,9
218,1819,WON,WARLOCK,10
572,1819,WON,WARLOCK,19
99,1819,WON,WARLOCK,8
196,1817,LOST,WARRIOR,21
53,1609,WON,MAGE,4
81,1832,LOST,MAGE,4
87,1825,LOST,PALADIN,25
373,1821,LOST,ROGUE,15
23,1821,WON,ROGUE,11
84,1819,WON,WARLOCK,16
106,1818,WON,WARLOCK,13
62,1760,WON,WARRIOR,4
15,1819,WON,WARLOCK,3
3,1829,WON,DRUID,2
27,1831,LOST,PRIEST,3
80,1606,LOST,DRUID,-1
804,1828,LOST,HUNTER,20
120,1607,LOST,HUNTER,13
83,1828,WON,HUNTER,25
203,1832,WON,MAGE,10
191,1832,WON,MAGE,17
302,1832,WON,MAGE,18
318,1609,WON,MAGE,5
194,1754,WON,PALADIN,14
451,1830,LOST,PRIEST,15
151,1820,LOST,ROGUE,8
127,1821,WON,ROGUE,23
793,1826,LOST,SHAMAN,19
158,1826,LOST,SHAMAN,8
84,1827,LOST,SHAMAN,25
68,1827,WON,SHAMAN,-1
